ZCTA5,LANDSQMT,POPULATION
3223,189667959,3427
3224,104115137,2318
3225,74685885,3660
3226,34888726,1117
3227,167114223,925
3229,112335445,5589
3230,105820083,1231
3231,5691388,202
3233,1404333,115
3234,88993924,4572
3235,76658454,8562
3237,94659434,2254
3238,7187877,75
3240,107947542,1340
3241,107193585,876
3242,114051040,4836
3243,68293520,1085
3244,213115083,8092
3245,78620240,2027
3246,51907118,15963
3249,100666488,7113
3251,389909477,1662
3253,100784482,6219
3254,154116241,4049
3255,95201212,2090
3256,97312305,2169
3257,59407967,4455
3258,54171126,2517
3259,60600664,368
3260,63262340,809
3261,72462607,4246
3262,147467680,1231
3263,63058514,4114
3264,95399381,7468
3266,265266433,2163
3268,79092133,1272
3269,123300238,2966
3273,15284920,312
3275,111629686,11437
3276,102402502,8324
3278,161197853,2952
3279,118341301,829
3280,117704177,1123
3281,152386465,8785
3282,107082675,902
3284,100284173,999
3285,129948859,2479
3287,68003168,1295
3290,118666228,4731
3291,468160,39
3293,4201880,143
3301,128255065,33008
3303,174735473,15524
3304,72603163,7519
3307,128654532,5334
3431,154023267,25280
3440,93674070,2692
3441,10142582,395
3442,28827061,1491
3443,28777183,742
3444,72683140,1590
3445,51812080,691
3446,110732975,6285
3447,90690658,2422
3448,50385612,811
3449,77626641,1654
3450,48126081,961
3451,55458810,4077
3452,99227871,5457
3455,60901897,2086
3456,67201281,742
3457,59525160,852
3458,138145111,6643
3461,96281338,6014
3462,50616977,1562
3464,128934042,1109
3465,45644342,2156
3466,39570237,1332
3467,91718664,1842
3470,226214956,5033
3561,131988339,5939
3570,273397988,10051
3574,234651984,2526
3575,71957724,124
3576,368492454,3238
3579,1422872029,461
3580,246478333,1369
3581,389435567,3230
3582,220743496,2577
3583,130386418,1107
3584,152855776,3774
3585,209504380,2519
3586,43098998,547
3588,369200052,1641
3590,272724561,1052
3592,852457298,1145
3593,241865131,313
3595,95162380,639
3597,138354987,521
3598,159811764,3285
3601,49731702,477
3602,150241938,2654
3603,110379750,5412
3604,1262647,69
3605,83840974,1160
3607,40320559,322
3608,87538488,2811
3609,2310753,854
3740,88787537,911
3741,199105097,4208
3743,158428482,14103
3745,90516133,1424
3746,18540035,216
3748,111258676,4762
3750,32448349,870
3751,7930840,583
3752,58230518,810
3753,70231641,2971
3754,99446,86
3755,93501096,10538
3765,11391216,503
3766,82290818,8958
3768,139434680,1716
3770,12816430,524
3771,57036410,754
3773,239102829,7841
3774,67092535,1966
3777,117316531,1237
3779,103105717,790
3780,42118686,410
3781,122302895,1840
3782,54686367,2945
3784,21711602,4086
3785,154699196,2400
3801,61709181,21532
3809,104420642,3716
3810,59859217,1538
3811,28852738,6753
3812,156358082,824
3813,249037888,3250
3814,81982158,2329
3816,75187121,1368
3817,25632724,574
3818,219963235,3807
3819,30342924,4377
3820,71925604,30039
3823,27454805,1719
3824,57959560,14638
3825,119638678,8512
3826,7366669,2470
3827,46024515,3150
3830,33330566,1610
3832,64559964,395
3833,125711686,20955
3835,96394821,6786
3836,90610392,1489
3837,52207029,1519
3838,59534640,1031
3839,21940837,3735
3840,27002945,3566
3841,27979295,6334
3842,32995704,15345
3844,31896799,2238
3845,34253090,991
3846,168379170,799
3847,2205977,294
3848,50885764,6020
3849,64729028,1585
3850,7820672,372
3851,68325085,4040
3852,17444288,558
3853,20518787,602
3854,2137294,968
3855,107514953,2638
3856,18376886,1680
3857,32630963,9006
3858,25661608,4603
3860,52244890,4056
3861,51681417,4330
3862,35952959,4278
3864,89456174,1696
3865,27551140,7609
3867,77390106,20758
3868,19557049,5323
3869,18362386,2469
3870,31593114,5162
3871,1079210,136
3872,122511781,3809
3873,34470970,5711
3874,23141129,8776
3875,36301459,833
3878,25883310,11824
3882,99512206,1465
3883,32951937,178
3884,125478071,3964
3885,39183503,7261
3886,98750503,2112
3887,52342290,2154
3890,11857668,327
3894,126517894,6314
3901,97503017,7246
3902,50748339,2211
3903,51264299,6211
3904,29002836,7703
3905,17021886,1780
3906,99067581,4647
3907,10588098,894
3908,83310941,7233
3909,89042009,9738
3910,880516,328
3911,900654,250
4001,93144479,2429
4002,170961043,7351
4003,2984238,330
4005,124061683,23146
4006,194734,96
4008,92331539,2723
4009,146675592,5151
4010,115175447,1597
4011,121022203,20278
4015,82235850,3808
4017,9210888,341
4019,1864047,71
4020,57434668,1403
4021,53424042,5820
4022,119457679,1148
4024,41039400,608
4027,142454022,6031
4029,85120344,1725
4030,43066152,2208
4032,89883376,7879
4037,213628639,3834
4038,131094666,16381
4039,105253986,7422
4040,159555995,3111
4041,96909853,1613
4042,82913900,4281
4043,91372431,10810
4046,114972813,7496
4047,150842659,1892
4048,72995461,2946
4049,105863268,3659
4050,3688589,230
4051,113058652,1153
4055,80559314,3793
4056,14607111,257
4057,142740,56
4061,50924941,3369
4062,121660712,17020
4063,1735833,412
4064,17519294,8212
4066,4666654,539
4068,81917280,1505
4069,59192594,1465
4071,96085048,4801
4072,99620114,18482
4073,96846448,16189
4074,123200760,18760
4076,100404927,2683
4079,54992768,3871
4083,25875459,4525
4084,121475337,8088
4085,31237424,1786
4086,83400642,8787
4087,49308319,2116
4088,124767848,1516
4090,149318663,9589
4091,50145966,911
4092,44387577,17515
4093,104955800,8034
4095,75210679,1274
4096,34582021,8349
4097,54977244,3574
4101,5134232,17227
4102,15318671,17335
4103,26438888,30606
4105,75875677,11158
4106,31630418,25175
4107,37541117,8980
4108,3084815,862
4109,3341947,93
4110,5825410,1391
4210,153542566,23045
4216,354433713,640
4217,473357697,3312
4219,158979683,1472
4220,203068751,3077
4221,83090441,1098
4222,99145260,3848
4224,192329593,3040
4226,27924372,190
